,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
776,7.0,14.0,23.649000000001266,+,40.0,16.0,4.770120000011389,CRUMB,FRI,108.5985375,40.2679917
989,8.0,58.0,10.070039999996965,+,27.0,50.0,50.79984000000195,CRUMB,FRII,134.54195849999996,27.8474444
1214,10.0,8.0,36.77712000000256,+,28.0,13.0,1.830000000003622,CRUMB,FRI,152.153238,28.217175
2464,15.0,24.0,54.42012000000162,+,27.0,57.0,7.700040000004833,CRUMB,FRII,231.2267505,27.9521389
5437,8.0,41.0,40.57000000000684,+,25.0,48.0,27.90000000000788,FRICAT,FRI,130.4190416666667,25.80775
5454,10.0,7.0,57.06000000000941,+,28.0,1.0,47.89999999999225,FRICAT,FRI,151.98775000000003,28.02997222222222
5586,15.0,47.0,9.220000000007218,+,35.0,38.0,46.10000000001094,FRICAT,FRI,236.78841666666668,35.64613888888889
6857,10.0,9.0,25.68000000000964,+,28.0,18.0,2.557953848736361e-12,RGD,FRI,152.35700000000003,28.3
7164,12.0,46.0,51.60000000000849,+,23.0,3.0,43.2000000000042,RGD,FRII,191.715,23.062
7967,7.0,14.0,24.79200000000276,+,35.0,34.0,39.90000000000634,LRG,COMPACT,108.6033,35.57775
9872,8.0,12.0,43.76951999999747,+,25.0,2.0,47.255999999999005,MiraBest,FRI,123.18237299999996,25.04646
10612,13.0,25.0,2.4456000000007805,+,22.0,48.0,2.3760000000021364,MiraBest,FRII,201.26019,22.80066
13335,170.0,29.0,44.353100005807846,+,48.0,12.0,40.91956137428838,LoMorph,FRII,170.4956536388905,48.21136654482619
